UID,ANTENNA,BAND,BB,CALDATA_ID,FREQMIN,FREQMAX,TIME,trec_X,trec_Y,tsys_X,tsys_Y,sbgain_X,sbgain_Y
uid://A002/Xa2300a/Xa8a,DA52,ALMA_RB_06,BB_1,CalData_3,218.46885328975,218.46885328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.98857147,0.98907596
uid://A002/Xa2300a/Xa8a,DA52,ALMA_RB_06,BB_2,CalData_3,220.2744262829,220.2744262829,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9735986,0.986933
uid://A002/Xa2300a/Xa8a,DA62,ALMA_RB_06,BB_1,CalData_3,218.46885328975,218.46885328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9822467,0.9907538
uid://A002/Xa2300a/Xa8a,DA62,ALMA_RB_06,BB_2,CalData_3,220.2744262829,220.2744262829,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9683078,0.98729694
uid://A002/Xa2300a/Xa8a,DV11,ALMA_RB_06,BB_3,CalData_3,233.76355707110002,233.76355707110002,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9863799,0.9710602
uid://A002/Xa2300a/Xa8a,DV11,ALMA_RB_06,BB_4,CalData_3,235.44835328975,235.44835328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9727639,0.98236173
uid://A002/Xa2300a/Xa8a,DA42,ALMA_RB_06,BB_3,CalData_3,233.76355707110002,233.76355707110002,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.94333035,0.99103045
uid://A002/Xa2300a/Xa8a,DA42,ALMA_RB_06,BB_4,CalData_3,235.44835328975,235.44835328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9582348,0.9883769
uid://A002/Xa2300a/Xa8a,DA52,ALMA_RB_06,BB_3,CalData_3,233.76355707110002,233.76355707110002,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.93227255,0.9739945
uid://A002/Xa2300a/Xa8a,DA52,ALMA_RB_06,BB_4,CalData_3,235.44835328975,235.44835328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.95514107,0.9675569
uid://A002/Xa2300a/Xa8a,DA62,ALMA_RB_06,BB_3,CalData_3,233.76355707110002,233.76355707110002,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9511096,0.9766816
uid://A002/Xa2300a/Xa8a,DA62,ALMA_RB_06,BB_4,CalData_3,235.44835328975,235.44835328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.95461476,0.9710991
uid://A002/Xa2300a/Xa8a,DV12,ALMA_RB_06,BB_1,CalData_3,218.46885328975,218.46885328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9779113,0.9870181
uid://A002/Xa2300a/Xa8a,DV12,ALMA_RB_06,BB_2,CalData_3,220.2744262829,220.2744262829,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.98860174,0.9862455
uid://A002/Xa2300a/Xa8a,DA43,ALMA_RB_06,BB_1,CalData_3,218.46885328975,218.46885328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.94803065,0.98800975
uid://A002/Xa2300a/Xa8a,DA43,ALMA_RB_06,BB_2,CalData_3,220.2744262829,220.2744262829,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.8941212,0.9771732
uid://A002/Xa2300a/Xa8a,DA53,ALMA_RB_06,BB_1,CalData_3,218.46885328975,218.46885328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.97716606,0.98670256
uid://A002/Xa2300a/Xa8a,DA53,ALMA_RB_06,BB_2,CalData_3,220.2744262829,220.2744262829,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9647175,0.987781
uid://A002/Xa2300a/Xa8a,DA63,ALMA_RB_06,BB_1,CalData_3,218.46885328975,218.46885328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9873166,0.9842891
uid://A002/Xa2300a/Xa8a,DA63,ALMA_RB_06,BB_2,CalData_3,220.2744262829,220.2744262829,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.97992814,0.98282564
uid://A002/Xa2300a/Xa8a,DV12,ALMA_RB_06,BB_3,CalData_3,233.76355707110002,233.76355707110002,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.97950053,0.96985024
uid://A002/Xa2300a/Xa8a,DV12,ALMA_RB_06,BB_4,CalData_3,235.44835328975,235.44835328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9563975,0.96834207
uid://A002/Xa2300a/Xa8a,DA43,ALMA_RB_06,BB_3,CalData_3,233.76355707110002,233.76355707110002,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9829525,0.9377068
uid://A002/Xa2300a/Xa8a,DA43,ALMA_RB_06,BB_4,CalData_3,235.44835328975,235.44835328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.98567075,0.9355943
uid://A002/Xa2300a/Xa8a,DA53,ALMA_RB_06,BB_3,CalData_3,233.76355707110002,233.76355707110002,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9786835,0.98947906
uid://A002/Xa2300a/Xa8a,DA53,ALMA_RB_06,BB_4,CalData_3,235.44835328975,235.44835328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9736564,0.9760474
uid://A002/Xa2300a/Xa8a,DA63,ALMA_RB_06,BB_3,CalData_3,233.76355707110002,233.76355707110002,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9807812,0.9701159
uid://A002/Xa2300a/Xa8a,DA63,ALMA_RB_06,BB_4,CalData_3,235.44835328975,235.44835328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9817249,0.95989716
uid://A002/Xa2300a/Xa8a,DV13,ALMA_RB_06,BB_1,CalData_3,218.46885328975,218.46885328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.98287225,0.98314023
uid://A002/Xa2300a/Xa8a,DV13,ALMA_RB_06,BB_2,CalData_3,220.2744262829,220.2744262829,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9844597,0.97510606
uid://A002/Xa2300a/Xa8a,DA44,ALMA_RB_06,BB_1,CalData_3,218.46885328975,218.46885328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9564546,0.98853385
uid://A002/Xa2300a/Xa8a,DA44,ALMA_RB_06,BB_2,CalData_3,220.2744262829,220.2744262829,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9661154,0.9686433
uid://A002/Xa2300a/Xa8a,DA54,ALMA_RB_06,BB_1,CalData_3,218.46885328975,218.46885328975,2015-06-04 02:08:17.579001,0.0,0.0,0.0,0.0,0.9775185,0.97010344
