UID,SCAN,SUBSCAN,START_TIME,END_TIME,FIELD_NAME,INTENT,delta
uid://A002/Xa2300a/Xa8a,4,6,2015-06-04 02:13:00.144000,2015-06-04 02:13:30.384000,J1550+0527,ON_SOURCE,0 days 00:00:30.240000000
uid://A002/Xa2300a/Xa8a,13,2,2015-06-04 02:29:36.240001,2015-06-04 02:30:06.480001,Arp220,ON_SOURCE,0 days 00:00:30.240000000
uid://A002/Xa2300a/Xa8a,1,10,2015-06-04 02:07:09.696000,2015-06-04 02:07:19.776000,J1550+0527,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,7,2,2015-06-04 02:20:11.711999,2015-06-04 02:20:41.952001,Titan,ON_SOURCE,0 days 00:00:30.240002000
uid://A002/Xa2300a/Xa8a,11,1,2015-06-04 02:27:21.312000,2015-06-04 02:27:51.552000,J1550+0527,ON_SOURCE,0 days 00:00:30.240000000
uid://A002/Xa2300a/Xa8a,7,5,2015-06-04 02:21:47.040000,2015-06-04 02:22:17.280001,Titan,ON_SOURCE,0 days 00:00:30.240001000
uid://A002/Xa2300a/Xa8a,12,1,2015-06-04 02:28:28.896000,2015-06-04 02:28:32.736000,Arp220,OFF_SOURCE,0 days 00:00:03.840000000
uid://A002/Xa2300a/Xa8a,3,3,2015-06-04 02:09:55.008000,2015-06-04 02:09:58.848001,J1550+0527,ON_SOURCE,0 days 00:00:03.840001000
uid://A002/Xa2300a/Xa8a,5,8,2015-06-04 02:17:46.320001,2015-06-04 02:17:56.400001,J1517-2422,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,1,3,2015-06-04 02:05:48.384001,2015-06-04 02:05:58.464001,J1550+0527,ON_SOURCE,0 days 00:00:10.080000000
uid://A002/Xa2300a/Xa8a,13,1,2015-06-04 02:29:04.464000,2015-06-04 02:29:34.704001,Arp220,ON_SOURCE,0 days 00:00:30.240001000
uid://A002/Xa2300a/Xa8a,13,4,2015-06-04 02:30:39.792001,2015-06-04 02:31:10.032000,Arp220,ON_SOURCE,0 days 00:00:30.239999000
uid://A002/Xa2300a/Xa8a,13,5,2015-06-04 02:31:11.568000,2015-06-04 02:31:41.808001,Arp220,ON_SOURCE,0 days 00:00:30.240001000
