UID,START_TIME,CALDATA_ID,ANTENNA,BAND,FREQ_MIN,FREQ_MAX,AZ,EL,OFF_X,ERR_X,OFF_Y,ERR_Y,OFF_Z,ERR_Z,TEMP
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA44,ALMA_RB_06,220623937500.0,240405187500.1,33.12334359737863,69.83298759059069,0.0,0.0,0.0,0.0,-3.787714018417912e-05,6.402603535318262e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA45,ALMA_RB_06,220623937500.0,240405187500.1,33.332895171754345,69.86304394517231,0.0,0.0,0.0,0.0,-8.964851213643675e-06,5.869710106017913e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA47,ALMA_RB_06,220623937500.0,240405187500.1,33.16720965984295,69.82446040595886,0.0,0.0,0.0,0.0,-8.80467331945821e-06,6.615953066441062e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA49,ALMA_RB_06,220623937500.0,240405187500.1,33.258574814850775,69.90927640027039,0.0,0.0,0.0,0.0,2.0114388486398545e-05,6.264360284980501e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA52,ALMA_RB_06,220623937500.0,240405187500.1,33.223078580904506,69.90332817740976,0.0,0.0,0.0,0.0,6.133240744705173e-06,6.41882426739813e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA53,ALMA_RB_06,220623937500.0,240405187500.1,33.19003037576649,69.88550734474364,0.0,0.0,0.0,0.0,-5.3047046048881216e-05,6.40578619337081e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA50,ALMA_RB_06,220623937500.0,240405187500.1,33.10337740463441,69.84643461287865,0.0,0.0,0.0,0.0,-1.144101180051555e-05,6.5188760253045915e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA51,ALMA_RB_06,220623937500.0,240405187500.1,33.04527391871708,69.87469884335965,0.0,0.0,0.0,0.0,-2.937862722596002e-05,6.46336922919372e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA42,ALMA_RB_06,220623937500.0,240405187500.1,32.98101778636901,69.9650911225072,0.0,0.0,0.0,0.0,-0.00010710581886175603,6.59679951393928e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA43,ALMA_RB_06,220623937500.0,240405187500.1,33.06263290189155,69.82537965128756,0.0,0.0,0.0,0.0,-6.0603637166324594e-05,6.433383751014161e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA57,ALMA_RB_06,220623937500.0,240405187500.1,33.13685734446272,69.83686325422583,0.0,0.0,0.0,0.0,4.787770398987057e-06,6.726041495515956e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA59,ALMA_RB_06,220623937500.0,240405187500.1,33.14260084757075,69.84178920350239,0.0,0.0,0.0,0.0,1.6025826794861423e-05,6.373408804997767e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DV10,ALMA_RB_06,220623937500.0,240405187500.1,32.81651743111752,69.71894808114065,0.0,0.0,0.0,0.0,-0.00023857670983562526,6.500983542427032e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DV11,ALMA_RB_06,220623937500.0,240405187500.1,33.02980128845243,69.68792901974203,0.0,0.0,0.0,0.0,-0.0001757859919275671,6.578974000200481e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DV12,ALMA_RB_06,220623937500.0,240405187500.1,32.936831579612864,69.83174601065632,0.0,0.0,0.0,0.0,-0.00018000003042059365,6.620544557025009e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DV13,ALMA_RB_06,220623937500.0,240405187500.1,33.04764165452922,69.77666368794496,0.0,0.0,0.0,0.0,-0.00013889273128431912,7.013301048647888e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA60,ALMA_RB_06,220623937500.0,240405187500.1,33.15283393987825,69.82875869981817,0.0,0.0,0.0,0.0,-0.00012942351717223766,6.205151266378414e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA61,ALMA_RB_06,220623937500.0,240405187500.1,33.20184627409068,69.88736923034182,0.0,0.0,0.0,0.0,-3.001928905249435e-05,6.1835848755682946e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA62,ALMA_RB_06,220623937500.0,240405187500.1,33.12118785253899,69.87059735086105,0.0,0.0,0.0,0.0,-6.356411770365127e-05,6.904731456921922e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA63,ALMA_RB_06,220623937500.0,240405187500.1,33.05737341497063,69.81970936788161,0.0,0.0,0.0,0.0,-4.244601056427327e-05,6.665532381600907e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DA64,ALMA_RB_06,220623937500.0,240405187500.1,33.12055755450115,69.88825647885483,0.0,0.0,0.0,0.0,-3.062032737639814e-05,6.214858501954802e-06,271.543609619
uid://A002/Xa2300a/X113,2015-06-03 23:56:19.392000,CalData_7,DV01,ALMA_RB_06,220623937500.0,240405187500.1,33.20713727134404,69.82985058131239,0.0,0.0,0.0,0.0,-0.0003680103295617378,6.986597119319901e-06,271.543609619
