UID,ANTENNA,BAND,TIME,CALDATA_ID,FREQ_MEAN,AZ,EL,REL_OFF_X,REL_OFF_Y,ABS_OFF_X,ABS_OFF_Y,ERR_X,ERR_Y,BW_X,BW_Y
uid://A002/Xa2300a/Xa8a,DA55,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.83933168229491,54.334672563627365,-1.4280775870243134,1.5909218709000017,227.5482769565426,-154.36073599256923,0.037521696838669356,0.03746596057314691,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DV16,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.838779578663626,54.33704607040794,-5.718862195986589,2.9444508545333417,573.9286313023102,-1045.901425890616,0.04080927351276078,0.0433178216013173,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DV17,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.8400303377663,54.335406227832635,0.7270342751813659,-0.46564880809639203,633.6941149027762,-894.930627716927,0.042701959927779545,0.042744528761340404,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DV18,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.84075382156042,54.336172807662805,9.576839942336152,11.592095139518857,471.32944140577456,-583.9152167826056,0.13021676344062402,0.12454620927167008,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DV19,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.8415432018861,54.33484408992629,-0.2881170999182099,-0.4465242246384902,183.36776895182456,-668.4106587295139,0.04170483656282718,0.04169044565692057,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DV20,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.843722120169595,54.33731013553583,4.605001468120101,-1.6770062289390861,242.3030227638059,-573.6524606529165,0.0388176938810352,0.04079576919052801,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DV21,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.8433624437523,54.338729944509375,0.678173234920353,-2.072222419834574,194.10959942482606,-628.4879786494039,0.042208329200821466,0.04174627213282473,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DV22,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.84035318116714,54.33591787165659,-1.062545738269319,0.03261870528031662,740.1470800410217,-763.594433162116,0.04757973933596969,0.047744278903256034,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DV23,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.836265244799286,54.3357726788522,-0.4603445723134618,-0.8950956292308379,180.2251989942591,-670.3751349832218,0.03627535467849146,0.036210483383412255,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DA57,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.840783382629205,54.33589648432328,0.2924800240046183,-0.533465922647749,338.88889789309917,-393.71421495912807,0.04536884293712908,0.04534161632864927,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DA59,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.84122199477542,54.33563361302021,1.6494342865308056,3.3042539954632923,367.60551517039465,-375.34858282480326,0.04002922997509635,0.03910417223642433,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DA60,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.8391006778802,54.33256583139725,1.0018357512447837,1.2093858887551758,376.27003942411613,-412.00066353474546,0.0395177877142292,0.03946280807534216,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DA61,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.842869278365605,54.33672410734954,2.202395730939339,0.9630880661447134,425.3725034371243,-215.35781767551222,0.03777861218921997,0.03822094501536992,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DA62,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.840563091181636,54.33518970655823,0.9666131447373217,-2.390754313118258,317.72745442933893,-269.4462575844409,0.047705823927668575,0.04703721034238954,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DA63,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.84312427729467,54.3344810468772,-1.452652843271816,0.2409688204169208,175.8158983781243,-453.4627300541628,0.04746910570199583,0.04776384306189004,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DA64,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.8419763140411,54.33609362792554,1.1300545930734098,1.450776743648481,303.9165584353733,-211.92410163827907,0.036978678721407233,0.03688683770003711,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DV01,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.84018307803007,54.33703568814667,-0.17958470631501305,0.6586888397778093,467.23483166285865,-426.3063329456254,0.050266278358803956,0.05028091084885595,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DV05,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.84060053281989,54.3344808215597,-0.9913800490330671,0.20533542710738045,79.70690496914085,-478.7578632259174,0.042826641095896206,0.042950567395335225,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DV07,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.84112739705896,54.334917275400606,1.2835914046281507,-1.3396998249615257,615.6839608068595,-722.4558950821115,0.040973603603147786,0.04096265168939762,25.567798997508977,25.567798997508977
uid://A002/Xa2300a/Xa8a,DV10,ALMA_RB_06,2015-06-04 02:06:16.656000,CalData_1,230514562500.05,39.83798939218814,54.335401897657235,-0.6477236824109756,-1.2859531607542416,-283.78537428781556,-816.4185832373834,0.04109387344746725,0.040942814679609335,25.567798997508977,25.567798997508977
