UID,ANTENNA,CALDATA_ID,PWV,START_TIME
uid://A002/Xa2300a/Xa8a,DA50,CalData_0,0.00144649401358,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DV23,CalData_0,0.0014521532292,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DV24,CalData_0,0.00143220617879,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DV25,CalData_0,0.00142795344105,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA59,CalData_0,0.00190583913033,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA57,CalData_0,0.00141377943728,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA55,CalData_0,0.00142199641672,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DV22,CalData_0,0.00140304649786,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA54,CalData_0,0.00147378066103,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA52,CalData_0,0.00148435091372,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA51,CalData_0,0.00140495747758,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DV15,CalData_0,0.00141053510966,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA49,CalData_0,0.00138158043784,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA47,CalData_0,0.0014617566499,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA45,CalData_0,0.00146277357908,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA53,CalData_0,0.0014373546705,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA60,CalData_0,0.00136357850693,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA61,CalData_0,0.00139076532755,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DA62,CalData_0,0.0014572593596,2015-06-04 02:05:06.584000
uid://A002/Xa2300a/Xa8a,DV16,CalData_0,0.00144737641033,2015-06-04 02:05:06.584000
