UID,ANTENNA,ATM_CORR,BB,BAND,CALDATA_ID,REF_ANT,TIME,delay_X,delay_Y,error_X,error_Y
uid://A002/Xa2300a/X25,DA62,AP_UNCORRECTED,BB_1,ALMA_RB_03,CalData_1,DA42,2015-06-03 23:19:24.048000,1.0018505122721955e-11,4.9744618146885244e-11,1.0969470123911584e-11,1.5496470426312747e-11
uid://A002/Xa2300a/X25,DA63,AP_UNCORRECTED,BB_1,ALMA_RB_03,CalData_1,DA42,2015-06-03 23:19:24.048000,-3.313592802922649e-11,2.247773495112071e-11,1.3119201905387179e-11,1.7013631822826447e-11
uid://A002/Xa2300a/X25,DA64,AP_UNCORRECTED,BB_1,ALMA_RB_03,CalData_1,DA42,2015-06-03 23:19:24.048000,-1.768496113441209e-11,1.45845002741396e-11,2.169206307633953e-11,1.0816867367091643e-11
uid://A002/Xa2300a/X25,DV01,AP_UNCORRECTED,BB_1,ALMA_RB_03,CalData_1,DA42,2015-06-03 23:19:24.048000,-5.845442185847816e-11,-1.972211803591417e-11,1.832842558280312e-11,1.5420257085119182e-11
uid://A002/Xa2300a/X25,DV05,AP_UNCORRECTED,BB_1,ALMA_RB_03,CalData_1,DA42,2015-06-03 23:19:24.048000,-3.929546271708162e-11,-4.4762389866774555e-13,1.2185151325450061e-11,2.7043327646691928e-11
uid://A002/Xa2300a/X25,DV07,AP_UNCORRECTED,BB_1,ALMA_RB_03,CalData_1,DA42,2015-06-03 23:19:24.048000,-8.030554519977695e-12,3.016585592430232e-11,1.2978056997126064e-11,1.566314612733155e-11
uid://A002/Xa2300a/X25,DV10,AP_UNCORRECTED,BB_1,ALMA_RB_03,CalData_1,DA42,2015-06-03 23:19:24.048000,1.427902826360572e-12,-5.469400973789895e-12,1.103653366613111e-11,1.0052076358790796e-11
uid://A002/Xa2300a/X25,DV11,AP_UNCORRECTED,BB_1,ALMA_RB_03,CalData_1,DA42,2015-06-03 23:19:24.048000,4.380898074862749e-11,6.960600845706821e-11,9.988452773224132e-12,1.5946041362346897e-11
uid://A002/Xa2300a/X25,DV12,AP_UNCORRECTED,BB_1,ALMA_RB_03,CalData_1,DA42,2015-06-03 23:19:24.048000,-3.3406759997189894e-11,1.0582402142078617e-11,2.2990742989947854e-11,1.395953404953465e-11
uid://A002/Xa2300a/X25,DV13,AP_UNCORRECTED,BB_1,ALMA_RB_03,CalData_1,DA42,2015-06-03 23:19:24.048000,-2.3852232688970076e-11,3.0977932025111343e-11,1.305326940287399e-11,1.2770904993242294e-11
